seed,intensity,kind,N,n_min,valid,abstention_reason,mean_L,std_L,cv_L,iqr_L,range_L,mean_V,std_V,cv_V,iqr_V,range_V,flags
4200003,2400.0,MINK,2434,45,True,,66.37777777777778,2.734868584199158,0.04120156889486512,3.0,10.0,1594.6,169.9863262474694,0.10660123306626704,276.0,544.0,NEAR_DELTA_MINK_L
4200004,2400.0,MINK,2385,46,True,,65.95652173913044,2.843425075955209,0.04311059772377707,4.5,11.0,1559.1739130434783,196.26416363708978,0.12587701858991843,315.25,626.0,NEAR_DELTA_MINK_L
4200005,2400.0,MINK,2336,38,True,,63.10526315789474,2.7605250614617587,0.04374476744601619,3.0,10.0,1514.657894736842,207.94651087489194,0.13728942462682026,348.25,635.0,NEAR_DELTA_MINK_L
4200006,2400.0,MINK,2431,47,True,,65.8936170212766,1.6914559076044076,0.025669495530321974,2.0,7.0,1585.659574468085,187.75881729537855,0.11841054682772176,301.0,625.0,NEAR_DELTA_MINK_L
4200007,2400.0,MINK,2387,42,True,,65.64285714285714,1.1301375510767444,0.017216458884738217,1.0,5.0,1540.2380952380952,159.25343825604483,0.10339533786912788,265.5,589.0,NEAR_DELTA_MINK_L
4200008,2400.0,MINK,2441,42,True,,68.52380952380952,4.153243684949868,0.06061022750795499,6.0,14.0,1569.904761904762,192.27321948130273,0.12247444822577522,353.25,614.0,
4200009,2400.0,MINK,2428,46,True,,67.67391304347827,2.9639452836738522,0.04379745680982885,4.0,10.0,1592.7608695652175,199.47727175563122,0.1252399374992703,326.0,645.0,NEAR_DELTA_MINK_L
4200010,2400.0,MINK,2435,46,True,,66.97826086956522,1.8822873508254536,0.028102959473538094,2.75,9.0,1575.0217391304348,186.29913873291952,0.11828353482649374,246.75,597.0,NEAR_DELTA_MINK_L
4200011,2400.0,MINK,2334,45,True,,64.31111111111112,1.8357223491611896,0.028544404185298383,2.0,9.0,1539.4444444444443,155.21276516168314,0.10082388209708758,215.0,574.0,NEAR_DELTA_MINK_L
4200012,2400.0,MINK,2394,40,True,,65.9,1.9595917942265422,0.02973583906261824,2.0,9.0,1554.475,187.79083943313103,0.12080659993446728,264.25,661.0,NEAR_DELTA_MINK_L
4200013,2400.0,MINK,2436,45,True,,68.42222222222222,1.7190292982945525,0.02512384489225556,3.0,6.0,1596.7555555555555,189.24706433132508,0.1185197469161025,308.0,633.0,NEAR_DELTA_MINK_L
4200014,2400.0,MINK,2399,46,True,,69.08695652173913,2.4211575291001486,0.03504507436708837,2.0,12.0,1544.5869565217392,166.06711268888913,0.10751554775708856,248.5,562.0,NEAR_DELTA_MINK_L
