seed,intensity,kind,N,n_min,valid,abstention_reason,mean_L,std_L,cv_L,iqr_L,range_L,mean_V,std_V,cv_V,iqr_V,range_V,flags
4200014,1200.0,MINK,1199,32,True,,48.125,2.1469455046647083,0.04461185464238355,4.0,7.0,752.1875,90.3581199657784,0.12012712251370622,138.5,294.0,NEAR_DELTA_MINK_L
4200014,1200.0,BH,1199,37,True,,29.675675675675677,14.626991070849314,0.49289496322534115,15.0,46.0,504.86486486486484,274.80186101912835,0.5443077546952757,382.0,788.0,
4200015,1200.0,MINK,1188,29,True,,47.62068965517241,3.468218196049698,0.07283007073529417,7.0,11.0,737.3448275862069,93.22581996275976,0.12643449370621676,116.0,355.0,
4200015,1200.0,BH,1188,32,True,,28.59375,14.930797397912142,0.522169963642829,22.0,44.0,480.28125,275.3368657634453,0.573282562588994,461.0,764.0,
4200016,1200.0,MINK,1248,29,True,,48.172413793103445,2.085565589660337,0.04329377387269132,2.0,8.0,830.2068965517242,98.32226369772246,0.1184310370175258,163.0,330.0,NEAR_DELTA_MINK_L
4200016,1200.0,BH,1248,31,True,,32.806451612903224,14.03778163441078,0.42789698197319,12.0,41.0,614.741935483871,303.57131996605233,0.4938191173294654,331.0,885.0,
4200017,1200.0,MINK,1180,27,True,,45.629629629629626,1.7245106261959728,0.03779365820397019,3.0,5.0,776.8148148148148,87.43634172696922,0.11255751056680505,143.5,298.0,NEAR_DELTA_MINK_L
4200017,1200.0,BH,1180,36,True,,25.5,15.922555629602233,0.6244139462589111,34.0,41.0,459.3611111111111,316.7106243856771,0.6894589392201956,704.5,797.0,
4200018,1200.0,MINK,1158,29,True,,44.793103448275865,1.8453914703806416,0.04119811596692733,3.0,6.0,735.3793103448276,79.07805563038963,0.10753369658076053,120.0,270.0,NEAR_DELTA_MINK_L
4200018,1200.0,BH,1158,38,True,,28.736842105263158,13.701102933948356,0.47677830722530906,8.75,43.0,484.3421052631579,259.71515533629787,0.536222542938295,347.25,765.0,
4200019,1200.0,MINK,1199,35,True,,45.371428571428574,2.485221626055158,0.05477503583874718,4.0,9.0,775.1142857142858,96.14298025888954,0.1240371672034035,161.5,349.0,
4200019,1200.0,BH,1199,41,True,,26.390243902439025,15.02173717468754,0.5692155491332617,32.0,42.0,462.5609756097561,304.4452010269114,0.6581731211232991,660.0,816.0,
4200020,1200.0,MINK,1192,35,True,,43.91428571428571,1.991000158878211,0.04533832502325139,2.0,10.0,777.0,83.91117752889488,0.10799379347348119,85.0,343.0,NEAR_DELTA_MINK_L
4200020,1200.0,BH,1192,42,True,,27.19047619047619,13.545756839123873,0.49818019898704263,19.25,40.0,512.8809523809524,283.57985373914,0.5529155497443888,473.0,790.0,
4200021,1200.0,MINK,1243,30,True,,49.06666666666667,4.065573623597154,0.0828581580896159,5.75,15.0,800.6,91.96687809568544,0.11487244328714144,137.5,312.0,
4200021,1200.0,BH,1243,34,True,,30.176470588235293,14.991116169713342,0.49678162745638754,17.0,44.0,525.5,290.8572775131352,0.553486731709106,403.25,823.0,
4200022,1200.0,MINK,1219,35,True,,45.542857142857144,2.12929038672991,0.04675355303359275,3.0,8.0,781.2857142857143,85.50273894646264,0.10943850294848025,126.0,307.0,NEAR_DELTA_MINK_L
4200022,1200.0,BH,1219,44,True,,26.727272727272727,14.776153448844582,0.5528492786982667,24.25,40.0,469.8181818181818,296.0000977216725,0.6300311677512379,540.75,816.0,
4200023,1200.0,MINK,1161,33,True,,43.72727272727273,0.8265564664839913,0.01890253873456113,1.0,3.0,720.8484848484849,88.151426607037,0.12228842601447035,154.0,275.0,NEAR_DELTA_MINK_L
4200023,1200.0,BH,1161,45,True,,28.11111111111111,14.832729908658415,0.527646518489825,18.0,42.0,470.1333333333333,276.49083569301575,0.5881115336635332,403.0,767.0,
4200000,2400.0,MINK,2427,44,True,,66.0909090909091,2.6698500282888022,0.040396630414273486,4.0,10.0,1555.340909090909,179.31649814856542,0.11529080030009321,347.25,577.0,NEAR_DELTA_MINK_L
4200000,2400.0,BH,2427,56,True,,40.232142857142854,22.2934896578003,0.5541213585605046,32.0,66.0,994.75,613.8462246361054,0.6170859257462733,1103.75,1639.0,
4200001,2400.0,MINK,2387,38,True,,66.6842105263158,2.201736911931778,0.03301736489874016,3.75,8.0,1568.3947368421052,175.00579531361754,0.11158274840043401,309.0,577.0,NEAR_DELTA_MINK_L
4200001,2400.0,BH,2387,57,True,,39.49122807017544,23.670340318055114,0.5993822292888235,46.0,63.0,945.9824561403509,625.4030697815713,0.6611148713404714,1359.0,1641.0,
4200002,2400.0,MINK,2441,43,True,,65.25581395348837,1.6295672596609168,0.02497198580378454,3.0,6.0,1632.1860465116279,199.833099641368,0.12243279500425772,328.0,656.0,NEAR_DELTA_MINK_L
4200002,2400.0,BH,2441,57,True,,40.01754385964912,22.032265994322227,0.5505651739045887,29.0,61.0,1026.3684210526317,618.8464263075673,0.6029476488305101,910.0,1675.0,
4200003,2400.0,MINK,2434,45,True,,66.37777777777778,2.734868584199158,0.04120156889486512,3.0,10.0,1594.6,169.9863262474694,0.10660123306626704,276.0,544.0,NEAR_DELTA_MINK_L
4200003,2400.0,BH,2434,60,True,,44.36666666666667,21.24065807727142,0.47875262383031,22.25,62.0,1075.1666666666667,575.8008963367652,0.535545710435683,748.0,1640.0,
4200004,2400.0,MINK,2385,46,True,,65.95652173913044,2.843425075955209,0.04311059772377707,4.5,11.0,1559.1739130434783,196.26416363708978,0.12587701858991843,315.25,626.0,NEAR_DELTA_MINK_L
4200004,2400.0,BH,2385,58,True,,39.3448275862069,21.611420770715057,0.5492823859340373,29.5,62.0,939.1724137931035,596.6685424788445,0.6353131051507743,982.0,1640.0,
4200005,2400.0,MINK,2336,38,True,,63.10526315789474,2.7605250614617587,0.04374476744601619,3.0,10.0,1514.657894736842,207.94651087489194,0.13728942462682026,348.25,635.0,NEAR_DELTA_MINK_L
4200005,2400.0,BH,2336,48,True,,37.458333333333336,22.66050008029145,0.6049521712202388,43.5,59.0,959.1666666666666,636.6423097435134,0.6637452403928897,1366.0,1620.0,
4200006,2400.0,MINK,2431,47,True,,65.8936170212766,1.6914559076044076,0.025669495530321974,2.0,7.0,1585.659574468085,187.75881729537855,0.11841054682772176,301.0,625.0,NEAR_DELTA_MINK_L
4200006,2400.0,BH,2431,59,True,,42.67796610169491,20.671310404262215,0.48435556546921,16.5,62.0,1080.4745762711864,586.9987831227015,0.5432786629265136,752.0,1634.0,
4200007,2400.0,MINK,2387,42,True,,65.64285714285714,1.1301375510767444,0.017216458884738217,1.0,5.0,1540.2380952380952,159.25343825604483,0.10339533786912788,265.5,589.0,NEAR_DELTA_MINK_L
4200007,2400.0,BH,2387,57,True,,40.80701754385965,21.674982422940506,0.5311582107083442,31.0,62.0,988.1052631578947,569.1448088852882,0.575996131289042,846.0,1576.0,
4200008,2400.0,MINK,2441,42,True,,68.52380952380952,4.153243684949868,0.06061022750795499,6.0,14.0,1569.904761904762,192.27321948130273,0.12247444822577522,353.25,614.0,
4200008,2400.0,BH,2441,56,True,,41.07142857142857,22.68090539171122,0.5522307399720994,29.75,63.0,976.125,609.1615743468348,0.6240610314732588,1031.75,1634.0,
4200009,2400.0,MINK,2428,46,True,,67.67391304347827,2.9639452836738522,0.04379745680982885,4.0,10.0,1592.7608695652175,199.47727175563122,0.1252399374992703,326.0,645.0,NEAR_DELTA_MINK_L
4200009,2400.0,BH,2428,58,True,,44.93103448275862,19.194882641462037,0.42720767198956183,18.0,61.0,1150.5172413793102,567.7692355835675,0.4934904190595971,786.75,1679.0,
4200010,2400.0,MINK,2435,46,True,,66.97826086956522,1.8822873508254536,0.028102959473538094,2.75,9.0,1575.0217391304348,186.29913873291952,0.11828353482649374,246.75,597.0,NEAR_DELTA_MINK_L
4200010,2400.0,BH,2435,54,True,,40.333333333333336,21.93171219946131,0.5437614594907763,32.5,63.0,994.1296296296297,621.6206133164045,0.6252913048653361,1111.0,1644.0,
4200011,2400.0,MINK,2334,45,True,,64.31111111111112,1.8357223491611896,0.028544404185298383,2.0,9.0,1539.4444444444443,155.21276516168314,0.10082388209708758,215.0,574.0,NEAR_DELTA_MINK_L
4200011,2400.0,BH,2334,59,True,,38.067796610169495,20.292659110849446,0.5330662900890993,28.0,57.0,964.6271186440678,578.363966640944,0.599572576244719,979.5,1560.0,
4200012,2400.0,MINK,2394,40,True,,65.9,1.9595917942265422,0.02973583906261824,2.0,9.0,1554.475,187.79083943313103,0.12080659993446728,264.25,661.0,NEAR_DELTA_MINK_L
4200012,2400.0,BH,2394,53,True,,42.679245283018865,20.876793638821777,0.4891556422889276,26.0,63.0,1072.8490566037735,585.312378982092,0.5455682468836439,883.0,1618.0,
4200013,2400.0,MINK,2436,45,True,,68.42222222222222,1.7190292982945525,0.02512384489225556,3.0,6.0,1596.7555555555555,189.24706433132508,0.1185197469161025,308.0,633.0,NEAR_DELTA_MINK_L
4200013,2400.0,BH,2436,57,True,,43.73684210526316,19.382146166709735,0.4431537631377677,19.0,60.0,1109.8245614035088,557.7560028318683,0.5025623168102512,722.0,1672.0,
4200014,2400.0,MINK,2399,46,True,,69.08695652173913,2.4211575291001486,0.03504507436708837,2.0,12.0,1544.5869565217392,166.06711268888913,0.10751554775708856,248.5,562.0,NEAR_DELTA_MINK_L
4200014,2400.0,BH,2399,57,True,,44.73684210526316,20.39308991652541,0.4558455393105679,25.0,65.0,1047.8947368421052,530.2657951264357,0.506029638744464,721.0,1580.0,
4200015,2400.0,MINK,2369,44,True,,66.36363636363636,2.0790175683689585,0.03132766198912129,3.0,10.0,1568.6363636363637,177.33085294149654,0.11304777643329249,258.0,633.0,NEAR_DELTA_MINK_L
4200015,2400.0,BH,2369,52,True,,42.19230769230769,21.264848623544175,0.503998235380263,27.25,63.0,1056.6923076923076,573.6732699978788,0.5428952835387949,836.0,1614.0,
4200016,2400.0,MINK,2468,46,True,,65.69565217391305,1.8866759959780117,0.02871843011746808,3.0,7.0,1614.195652173913,187.9051124515888,0.11640789157034846,290.0,632.0,NEAR_DELTA_MINK_L
4200016,2400.0,BH,2468,59,True,,45.152542372881356,19.11678077228648,0.4233821567435819,15.5,59.0,1140.406779661017,567.9445878510423,0.49801930151613305,665.5,1692.0,
4200017,2400.0,MINK,2372,37,True,,64.32432432432432,1.4152462120633562,0.022001726826195035,2.0,6.0,1555.7027027027027,179.80588104275193,0.1155785618488529,299.0,568.0,NEAR_DELTA_MINK_L
4200017,2400.0,BH,2372,50,True,,38.2,23.028677773593518,0.6028449678951182,45.5,62.0,949.64,623.8659715034952,0.656949972098369,1307.25,1641.0,
4200018,2400.0,MINK,2341,50,True,,63.62,1.9888690253508399,0.031261694834184846,3.0,7.0,1489.4,167.44575240954904,0.11242497140428967,256.5,597.0,NEAR_DELTA_MINK_L
4200018,2400.0,BH,2341,61,True,,40.91803278688525,20.3254625757191,0.49673606455082736,21.0,62.0,999.639344262295,554.6063448936474,0.5548064390191954,793.0,1551.0,
4200019,2400.0,MINK,2399,47,True,,65.72340425531915,3.2004130561842574,0.04869518084838462,3.5,12.0,1543.063829787234,195.022246876663,0.1263863769676681,349.0,697.0,NEAR_DELTA_MINK_L
4200019,2400.0,BH,2399,54,True,,39.05555555555556,22.23312232672374,0.5692691349658995,42.5,61.0,931.6296296296297,613.328511342648,0.6583394214141486,1237.25,1654.0,
4200020,2400.0,MINK,2388,45,True,,64.17777777777778,1.2699761833092928,0.019788410058489674,2.0,5.0,1584.4,158.6999124833477,0.10016404473829064,210.0,594.0,NEAR_DELTA_MINK_L
4200020,2400.0,BH,2388,53,True,,40.094339622641506,21.532129701206106,0.5370366466653759,35.0,61.0,1010.7547169811321,611.4950718158804,0.6049885907455975,1101.0,1627.0,
4200021,2400.0,MINK,2461,42,True,,66.57142857142857,2.0946968998021687,0.03146540407428151,3.75,7.0,1621.357142857143,182.7050474227286,0.1126864912074629,300.5,596.0,NEAR_DELTA_MINK_L
4200021,2400.0,BH,2461,50,True,,42.0,20.41861895427798,0.48615759414947574,24.0,64.0,1078.9,588.4994222596994,0.5454624360549628,840.5,1658.0,
4200022,2400.0,MINK,2427,47,True,,65.53191489361703,2.220322612458649,0.03388154635894691,2.0,11.0,1581.4255319148936,171.50010789412286,0.10844652778968308,270.0,616.0,NEAR_DELTA_MINK_L
4200022,2400.0,BH,2427,58,True,,42.91379310344828,20.840349195200243,0.48563288602716514,24.25,62.0,1074.9827586206898,586.4202180318547,0.5455159288175844,800.5,1643.0,
4200023,2400.0,MINK,2345,40,True,,67.725,1.8839785030620702,0.02781806575211621,3.0,8.0,1514.925,185.56931151189843,0.12249405845959267,324.25,632.0,NEAR_DELTA_MINK_L
4200023,2400.0,BH,2345,57,True,,37.75438596491228,22.58106698157706,0.5981044693075708,45.0,62.0,936.4035087719299,619.0956295954444,0.6611419369918563,1293.0,1608.0,
4200000,4800.0,MINK,4839,62,True,,94.90322580645162,2.5317957252062686,0.026677657199658165,3.0,10.0,3134.1129032258063,353.63782752883384,0.11283506320555643,671.25,1180.0,NEAR_DELTA_MINK_L
4200000,4800.0,BH,4839,79,True,,57.78481012658228,30.315919236288437,0.5246347469149587,42.0,88.0,2016.012658227848,1210.5091667879858,0.6004472054516113,2024.0,3287.0,
4200001,4800.0,MINK,4781,56,True,,94.89285714285714,2.832708014229061,0.029851646367487283,3.0,12.0,3113.0714285714284,368.2637281478964,0.11829594553083886,628.25,1204.0,NEAR_DELTA_MINK_L
4200001,4800.0,BH,4781,75,True,,56.24,32.81009600717437,0.5833943102271403,60.0,89.0,1891.2533333333333,1227.1197724029314,0.64883944989016,2419.5,3269.0,
4200002,4800.0,MINK,4858,65,True,,92.24615384615385,2.0757261508335914,0.02250203465713533,3.0,7.0,3244.1846153846154,379.36144292573834,0.11693583685919891,648.0,1310.0,NEAR_DELTA_MINK_L
4200002,4800.0,BH,4858,84,True,,58.773809523809526,30.283325283882434,0.5152520404792635,38.25,85.0,2095.1071428571427,1222.425701489978,0.5834669151205938,1874.75,3361.0,
4200003,4800.0,MINK,4848,72,True,,94.59722222222223,2.841457578926616,0.030037431461270934,4.25,13.0,3149.597222222222,378.10913546966475,0.120049996489039,620.25,1267.0,NEAR_DELTA_MINK_L
4200003,4800.0,BH,4848,87,True,,59.62068965517241,30.27241883386776,0.5077502291394824,36.0,87.0,2086.022988505747,1193.506482432944,0.57214445334942,1766.0,3312.0,
4200004,4800.0,MINK,4778,66,True,,94.75757575757575,2.6802340810289826,0.028285169387258214,2.0,11.0,3197.090909090909,344.0025866390034,0.10759862525674016,537.25,1190.0,NEAR_DELTA_MINK_L
4200004,4800.0,BH,4778,81,True,,56.80246913580247,29.462434652142434,0.5186822879425206,42.0,88.0,2023.148148148148,1206.2175459574376,0.596208214935484,2040.0,3302.0,
4200005,4800.0,MINK,4710,64,True,,90.015625,1.690896466190346,0.018784477319247032,1.25,8.0,3109.5,363.6303927066603,0.1169417567797589,624.25,1167.0,NEAR_DELTA_MINK_L
4200005,4800.0,BH,4710,78,True,,55.73076923076923,31.16608654756538,0.5592258455739819,60.75,86.0,1948.025641025641,1236.17638329835,0.6345791129563877,2562.75,3231.0,
4200006,4800.0,MINK,4843,60,True,,94.5,2.0696215435033847,0.02190075707410989,3.0,8.0,3133.133333333333,356.4459036406818,0.11376659264655675,526.75,1271.0,NEAR_DELTA_MINK_L
4200006,4800.0,BH,4843,79,True,,57.91139240506329,28.712097689953108,0.495793599454928,36.0,84.0,2047.6962025316457,1179.8678788341374,0.5761928343547355,1949.5,3264.0,
4200007,4800.0,MINK,4782,56,True,,94.66071428571429,1.5842617220906503,0.01673621136334209,3.0,6.0,3132.7678571428573,329.9282925918161,0.10531526995834184,527.25,1202.0,NEAR_DELTA_MINK_L
4200007,4800.0,BH,4782,73,True,,55.602739726027394,28.553597631461095,0.5135286097799113,45.0,85.0,1945.1780821917807,1156.1481909857446,0.5943662441862516,2157.0,3204.0,
4200008,4800.0,MINK,4858,63,True,,95.01587301587301,3.583436603127916,0.03771408386185411,6.0,14.0,3153.6825396825398,353.7068028658058,0.11215675592426975,606.0,1200.0,NEAR_DELTA_MINK_L
4200008,4800.0,BH,4858,79,True,,54.48101265822785,32.07383126692351,0.5887157690722485,62.5,87.0,1906.8227848101267,1269.9311529180386,0.6659932758483862,2727.0,3247.0,
4200009,4800.0,MINK,4839,62,True,,95.16129032258064,3.0224618698045598,0.03176146371659029,3.0,13.0,3137.3064516129034,390.05064140647494,0.12432659908181687,604.5,1295.0,NEAR_DELTA_MINK_L
4200009,4800.0,BH,4839,82,True,,59.109756097560975,28.62116140949414,0.48420367971498235,36.0,87.0,2067.4756097560976,1156.3083100720592,0.5592851033480729,1857.5,3254.0,
4200010,4800.0,MINK,4849,58,True,,96.12068965517241,2.5869539151014074,0.026913601269216436,3.75,10.0,3171.8793103448274,369.59115704389035,0.11652119166025603,614.0,1227.0,NEAR_DELTA_MINK_L
4200010,4800.0,BH,4849,76,True,,58.11842105263158,34.28900664140467,0.5899851720051517,69.5,93.0,1984.3157894736842,1302.2672052851592,0.6562802212195116,2778.0,3331.0,
4200011,4800.0,MINK,4707,69,True,,93.08695652173913,1.9762292482371324,0.021229926534074753,3.0,8.0,3076.9565217391305,328.93664580010017,0.10690324789320763,563.0,1187.0,NEAR_DELTA_MINK_L
4200011,4800.0,BH,4707,85,True,,53.71764705882353,30.21554401870038,0.5624882263665204,56.0,84.0,1860.9529411764706,1193.9652365210477,0.6415880864597459,2382.0,3159.0,
4200012,4800.0,MINK,4791,58,True,,92.44827586206897,3.499617781066283,0.03785487342443947,5.0,15.0,3168.5689655172414,359.5854947051927,0.11348514064818326,563.0,1267.0,NEAR_DELTA_MINK_L
4200012,4800.0,BH,4791,74,True,,60.608108108108105,30.586084792062415,0.5046533499693687,39.0,85.0,2126.391891891892,1197.6770288102148,0.5632437902801719,1934.0,3245.0,
4200013,4800.0,MINK,4851,65,True,,95.8923076923077,3.721550863336731,0.03880969133914448,7.0,13.0,3215.153846153846,351.7763813635121,0.10941199027982049,527.0,1277.0,NEAR_DELTA_MINK_L
4200013,4800.0,BH,4851,80,True,,62.2625,28.32831787717019,0.4549820177019906,35.0,87.0,2165.0625,1128.18046366428,0.5210844784685339,1523.5,3358.0,
4200014,4800.0,MINK,4799,62,True,,94.1774193548387,3.0348736145677604,0.0322250666386712,5.0,12.0,3128.6612903225805,347.2338592615788,0.11098480373558663,601.25,1149.0,NEAR_DELTA_MINK_L
4200014,4800.0,BH,4799,70,True,,59.67142857142857,27.51764183655456,0.4611527240983527,32.0,87.0,2091.2285714285713,1120.9484653813556,0.5360238860047744,1651.75,3225.0,
