PHASE,K,n,seed,N_total,N_empty,N_nonempty,backend_failures,analyzable,P_R_ge_5_given_E,P_R_ge_5_given_E_ci95_low,P_R_ge_5_given_E_ci95_high,U_n_star,U_n_star_ci95_low,U_n_star_ci95_high,Sbar_n_tie,Sbar_n_tie_ci95_low,Sbar_n_tie_ci95_high,H_tie_n,H_tie_n_ci95_low,H_tie_n_ci95_high
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,40,260828040,100000,0,100000,0,YES,0.043839999999999997,0.04258846382631009,0.045126581224561667,0.55045999999999995,0.54737496680229636,0.55354115654638159,0.96223810986158198,0.95853155044292948,0.96604707115268762,1.2404665243893005,1.2287630254230457,1.251074178953882
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,3,20,260828020,100000,14131,85869,0,YES,0.065530051590212995,0.063894277517375087,0.06720469705445456,0.48186190592646938,0.47852073424921326,0.48520470039249741,1.010599980970267,1.0069135337525057,1.0146988531353887,1.372112532470942,1.3613585744001513,1.3827949565980577
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,3,22,260828022,100000,7140,92860,0,YES,0.073400818436355805,0.071741032276722613,0.075095898487845605,0.47418694809390483,0.47097646157494449,0.47739957020782614,1.031755944279771,1.0278161762321982,1.035929930266104,1.4354336797385479,1.4245663184586599,1.4462165774791935
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,3,24,260828024,100000,3384,96616,0,YES,0.076084706466837793,0.074429693554288634,0.077773427841727222,0.48004471309099944,0.47689530168038835,0.48319571128568634,1.0398096321899839,1.0358651378906676,1.0437857810710602,1.4603857547919505,1.4494187958660338,1.470368156177845
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,3,26,260828026,100000,1264,98736,0,YES,0.072638146167557927,0.071035828820108879,0.074273716413508287,0.48839329120077785,0.48527589544579591,0.49151159007031292,1.0312294661078478,1.0272247905368288,1.0351780613360726,1.4400040756434025,1.4288307009750909,1.4501878928256637
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,3,28,260828028,100000,493,99507,0,YES,0.070296562050910991,0.068724691712400809,0.071901608434117276,0.4954626307696946,0.49235635130740735,0.49856926054792322,1.0277781748802681,1.0236531815462686,1.0319340757786992,1.4303665686461478,1.4186741581732365,1.4412647234931029
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,3,30,260828030,100000,174,99826,0,YES,0.065614168653457011,0.064094833139669669,0.067166934557577065,0.50578005729970144,0.50267842700922793,0.50888124275620994,1.0156142699004678,1.011205520435539,1.0198497302139393,1.398928297503071,1.3867695979410175,1.4097109023123797
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,3,32,260828032,100000,66,99934,0,YES,0.060429883723257347,0.05896936688398012,0.061924193377665193,0.51559028959113018,0.5124912588073669,0.51868812184079283,1.0062162473829981,1.0023074124391198,1.0101430720491189,1.3704209590947041,1.3593373726475766,1.3811193243374869
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,3,34,260828034,100000,12,99988,0,YES,0.05529663559627155,0.053896966006112823,0.056730474167356271,0.52581309757170858,0.52271713686508692,0.52890707491748978,0.99318362086735967,0.98949473776495489,0.99714993205200386,1.3351567281122372,1.324339178355284,1.3460574847765929
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,3,36,260828036,100000,3,99997,0,YES,0.052581577447323419,0.051215301855563534,0.053982227538753154,0.53306599197975935,0.5299725433766288,0.53615690017133522,0.98284623018936912,0.97910652817304389,0.98690853708698945,1.3071138438319923,1.2959438004130914,1.3183969900516939
