PHASE,method,n,r,count,p_given_E,p_given_E_ci95_low,p_given_E_ci95_high,q_given_tie,q_given_tie_ci95_low,q_given_tie_ci95_high
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,44,1,1.0350252546162127e-05,1.8270760606623406e-06,5.8631094150512664e-05,1.9906043474798948e-05,3.5139141072611766e-06,0.00011275752806044755
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,45,0,0,0,3.9758488139636955e-05,0,6.7762635780344027e-21,7.6462399345801938e-05
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,24,46,1,1.0350252546162127e-05,1.8270760606623406e-06,5.8631094150512664e-05,1.9906043474798948e-05,3.5139141072611766e-06,0.00011275752806044755
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,26,1,48222,0.48839329120077785,0.48527589544579591,0.49151159007031292,NA,NA,NA
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,26,2,28513,0.28878018149408524,0.28596163640780958,0.29161516153149947,0.56445737815259134,0.56012876344652285,0.56877618997093893
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,26,3,7537,0.076334872792092043,0.074695043413632575,0.078007667427855712,0.14920616066832956,0.14612579269966403,0.15233987850505881
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,26,4,7292,0.073853508345486957,0.072238727865012745,0.075501447157493559,0.14435602011323592,0.14131823233759075,0.14744789538209582
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,26,5,1559,0.015789580294927889,0.015030635205592212,0.016586201652735673,0.03086273112404482,0.02938986452294234,0.032406945646895266
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,26,6,2566,0.025988494571382272,0.025014392627533567,0.026999479209222309,0.050797798630082748,0.048916834000887414,0.052747079391119715
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,26,7,554,0.0056109220547723221,0.0051638545491474808,0.0060964578272339016,0.010967256602130103,0.010095485501048924,0.011913401393435765
