seed,intensity,K,start_id,depth_k,lineage_id,survivor_rank_at_depth,path_p,path_q,p_last,q_last,r_p_last,r_q_last,d_p_over_ell,d_q_over_ell,d_mid_over_ell,straddles_horizon,regscore,is_top1,is_minbeam_at_k
1000003,3600.0,8,63,3,14,7,"[2892,348,1955]","[348,100,3316]",1955,3316,0.22740526743159842,0.17131767057197922,6.095403523313219,7.34956031604034,6.722481919676779,0,0.0,0,0
1000003,3600.0,8,63,4,8,0,"[2892,348,100,884]","[348,100,884,2683]",884,2683,0.256556697113372,0.2306623092491741,5.44355773921571,6.022573854216631,5.73306579671617,0,-2.0,1,1
1000003,3600.0,8,63,5,8,0,"[2892,348,100,884,2683]","[348,100,884,2683,833]",2683,833,0.2306623092491741,0.1573222857622991,6.022573854216631,7.662506634097467,6.842540244157049,0,-5.0,1,0
1000003,3600.0,8,63,5,15,1,"[2892,348,100,884,2683]","[348,100,884,2683,2497]",2683,2497,0.2306623092491741,0.1407115735584932,6.022573854216631,8.03393345052142,7.028253652369025,0,-5.0,0,0
1000003,3600.0,8,63,5,16,2,"[2892,348,100,884,2683]","[348,100,884,2683,3337]",2683,3337,0.2306623092491741,0.168407627075002,6.022573854216631,7.4146308668075624,6.718602360512097,0,-5.0,0,1
1000003,3600.0,8,63,6,16,0,"[2892,348,100,884,2683,3337]","[348,100,884,2683,3337,499]",3337,499,0.168407627075002,0.10943236134939516,7.4146308668075624,8.733357898343266,8.073994382575414,0,-7.0,1,1
1000003,3600.0,8,63,6,8,1,"[2892,348,100,884,2683,833]","[348,100,884,2683,833,2277]",833,2277,0.1573222857622991,0.11283513762422229,7.662506634097467,8.657269507715897,8.159888070906682,0,-8.0,0,0
1000003,3600.0,8,63,6,15,2,"[2892,348,100,884,2683,2497]","[348,100,884,2683,2497,3616]",2497,3616,0.1407115735584932,0.1203886430630915,8.03393345052142,8.488367991418638,8.26115072097003,0,-8.0,0,0
1000004,3600.0,8,27,1,0,0,[731],[134],731,134,0.393896243250998,0.38545936399616065,2.372552127588706,2.5612064829064463,2.466879305247577,0,0.0,1,1
1000004,3600.0,8,27,2,0,0,"[731,134]","[134,1219]",134,1219,0.38545936399616065,0.37647930143273495,2.5612064829064463,2.7620067862466553,2.6616066345765517,0,0.0,1,1
