seed,intensity,K,start_id,depth_k,survivor_rank,p_last,q_last,r_p_last,r_q_last,d_mid_over_ell,straddles_horizon,regscore,path_p,path_q
1000000,3600.0,64,1,3,46,2766,1077,0.515874626809663,1.2771671197774421,8.866476271819645,0,0.0,"[499,107,2766]","[107,2766,1077]"
1000000,3600.0,64,1,3,47,2766,1191,0.515874626809663,0.5110548374626555,0.3010805635527787,0,0.0,"[499,107,2766]","[107,2766,1191]"
1000000,3600.0,64,1,3,48,2766,2280,0.515874626809663,0.7101023048852454,2.526498903083211,0,0.0,"[499,107,2766]","[107,2766,2280]"
1000000,3600.0,64,1,3,49,2766,3418,0.515874626809663,0.6295107084597668,1.625457462970212,0,0.0,"[499,107,2766]","[107,2766,3418]"
1000000,3600.0,64,1,3,50,2766,3430,0.515874626809663,0.5326843080868671,0.5429053967181398,0,0.0,"[499,107,2766]","[107,2766,3430]"
1000000,3600.0,64,1,3,51,2930,407,0.3422319703314765,0.10678607765147012,6.160165495428293,0,0.0,"[499,107,2930]","[107,2930,407]"
1000000,3600.0,64,1,3,52,2930,1659,0.3422319703314765,0.33502050590133325,3.6084270135658314,0,0.0,"[499,107,2930]","[107,2930,1659]"
1000000,3600.0,64,1,3,53,3178,263,0.5724656822736335,0.29234214904689104,1.5114943959646256,1,0.0,"[499,107,3178]","[107,3178,263]"
1000000,3600.0,64,1,3,54,3178,440,0.5724656822736335,1.1503504786741536,8.081330355573403,0,0.0,"[499,107,3178]","[107,3178,440]"
1000000,3600.0,64,1,3,55,3178,1098,0.5724656822736335,0.6104129518135728,2.0446452872565186,0,0.0,"[499,107,3178]","[107,3178,1098]"
1000000,3600.0,64,1,3,56,3178,2341,0.5724656822736335,0.49052189613857905,0.7042225353390268,1,0.0,"[499,107,3178]","[107,3178,2341]"
1000000,3600.0,64,1,3,57,3178,2555,0.5724656822736335,0.604365013864847,1.9770272853712594,0,0.0,"[499,107,3178]","[107,3178,2555]"
1000000,3600.0,64,1,3,58,3178,2606,0.5724656822736335,0.5648898594711553,1.5356816421382904,0,0.0,"[499,107,3178]","[107,3178,2606]"
1000000,3600.0,64,1,3,59,3178,2850,0.5724656822736335,0.5812626500236601,1.718735005422124,0,0.0,"[499,107,3178]","[107,3178,2850]"
1000000,3600.0,64,1,3,60,3178,3040,0.5724656822736335,1.2879295883425517,9.619511563085586,0,0.0,"[499,107,3178]","[107,3178,3040]"
1000000,3600.0,64,1,3,61,353,1088,0.4218529808635046,0.336472688409635,2.70200115961013,0,0.0,"[499,156,353]","[107,1078,1088]"
1000000,3600.0,64,1,3,62,1033,2418,0.33994283502708234,0.27726195890815175,4.279780511109282,0,0.0,"[499,156,1033]","[107,1078,2418]"
1000000,3600.0,64,1,4,0,2606,21,0.5648898594711553,0.5615451745380174,1.4135866539100392,0,-2.0,"[499,107,3178,2606]","[107,3178,2606,21]"
1000000,3600.0,64,1,4,1,2606,682,0.5648898594711553,0.5661349370914406,1.4649017592602263,0,-2.0,"[499,107,3178,2606]","[107,3178,2606,682]"
1000000,3600.0,64,1,4,2,1137,683,0.6360815985214534,0.6473578523386339,3.1689493981418315,0,-3.0,"[499,107,620,1137]","[107,620,1137,683]"
1000000,3600.0,64,1,4,3,1137,770,0.6360815985214534,0.8351730813239457,5.268787494246063,0,-3.0,"[499,107,620,1137]","[107,620,1137,770]"
1000000,3600.0,64,1,4,4,1137,985,0.6360815985214534,0.7167305262534154,3.9445594714137213,0,-3.0,"[499,107,620,1137]","[107,620,1137,985]"
1000000,3600.0,64,1,4,5,1191,112,0.5110548374626555,0.501266262310152,0.13775408324777252,0,-3.0,"[499,107,2766,1191]","[107,2766,1191,112]"
1000000,3600.0,64,1,5,0,21,1183,0.5615451745380174,0.5601625561059906,1.360733795536183,0,-5.0,"[499,107,3178,2606,21]","[107,3178,2606,21,1183]"
1000000,3600.0,64,1,5,1,682,1183,0.5661349370914406,0.5601625561059906,1.4120489008863675,0,-5.0,"[499,107,3178,2606,682]","[107,3178,2606,21,1183]"
1000000,3600.0,64,1,5,2,683,2729,0.6473578523386339,0.6520760455569167,3.3477727523109095,0,-5.0,"[499,107,620,1137,683]","[107,620,1137,683,2729]"
1000000,3600.0,64,1,5,3,112,892,0.501266262310152,0.459843212767971,0.43480928702983274,1,-5.0,"[499,107,2766,1191,112]","[107,2766,1191,112,892]"
1000000,3600.0,64,1,5,4,112,2341,0.501266262310152,0.49052189613857905,0.09181117964547249,1,-5.0,"[499,107,2766,1191,112]","[107,2766,1191,112,2341]"
1000000,3600.0,64,1,5,5,112,3566,0.501266262310152,0.48968088386728076,0.10121398268814487,1,-5.0,"[499,107,2766,1191,112]","[107,2766,1191,112,3566]"
1000000,3600.0,64,1,5,6,683,2939,0.6473578523386339,0.7304645506203723,4.224182882193278,0,-6.0,"[499,107,620,1137,683]","[107,620,1137,683,2939]"
1000000,3600.0,64,1,5,7,985,2939,0.7167305262534154,0.7304645506203723,4.999792955465166,0,-6.0,"[499,107,620,1137,985]","[107,620,1137,683,2939]"
1000000,3600.0,64,1,6,0,2729,1048,0.6520760455569167,0.6790288310138977,3.701865058470093,0,-6.0,"[499,107,620,1137,683,2729]","[107,620,1137,683,2729,1048]"
1000000,3600.0,64,1,6,1,2729,2163,0.6520760455569167,0.6621785234305604,3.513472892479481,0,-6.0,"[499,107,620,1137,683,2729]","[107,620,1137,683,2729,2163]"
1000000,3600.0,64,1,6,2,892,353,0.459843212767971,0.4218529808635046,1.322676765184966,0,-6.0,"[499,107,2766,1191,112,892]","[107,2766,1191,112,892,353]"
1000000,3600.0,64,1,6,3,892,3157,0.459843212767971,0.41885777381852657,1.3561641979812504,0,-6.0,"[499,107,2766,1191,112,892]","[107,2766,1191,112,892,3157]"
1000000,3600.0,64,1,6,4,3566,1913,0.48968088386728076,0.4755206273023508,0.3890589326948557,0,-6.0,"[499,107,2766,1191,112,3566]","[107,2766,1191,112,3566,1913]"
1000000,3600.0,64,1,6,5,2939,796,0.7304645506203723,0.7698371068678479,5.593542576997385,0,-9.0,"[499,107,620,1137,683,2939]","[107,620,1137,683,2939,796]"
1000000,3600.0,64,1,7,0,1048,24,0.6790288310138977,0.7041777795676767,4.284380153438453,0,-8.0,"[499,107,620,1137,683,2729,1048]","[107,620,1137,683,2729,1048,24]"
1000000,3600.0,64,1,7,1,1048,1751,0.6790288310138977,0.670986852129157,3.913294303494486,0,-8.0,"[499,107,620,1137,683,2729,1048]","[107,620,1137,683,2729,1048,1751]"
1000000,3600.0,64,1,7,2,1048,3186,0.6790288310138977,0.7012077745341596,4.251174487696149,0,-8.0,"[499,107,620,1137,683,2729,1048]","[107,620,1137,683,2729,1048,3186]"
1000000,3600.0,64,1,7,3,1048,3486,0.6790288310138977,0.6797098673441351,4.010820578441767,0,-8.0,"[499,107,620,1137,683,2729,1048]","[107,620,1137,683,2729,1048,3486]"
1000000,3600.0,64,1,7,4,2163,24,0.6621785234305604,0.7041777795676767,4.095987987447841,0,-8.0,"[499,107,620,1137,683,2729,2163]","[107,620,1137,683,2729,1048,24]"
1000000,3600.0,64,1,7,5,2163,1751,0.6621785234305604,0.670986852129157,3.7249021375038742,0,-8.0,"[499,107,620,1137,683,2729,2163]","[107,620,1137,683,2729,1048,1751]"
1000000,3600.0,64,1,7,6,2163,3186,0.6621785234305604,0.7012077745341596,4.062782321705537,0,-8.0,"[499,107,620,1137,683,2729,2163]","[107,620,1137,683,2729,1048,3186]"
1000000,3600.0,64,1,7,7,2163,3486,0.6621785234305604,0.6797098673441351,3.822428412451155,0,-8.0,"[499,107,620,1137,683,2729,2163]","[107,620,1137,683,2729,1048,3486]"
1000000,3600.0,64,1,7,8,2163,418,0.6621785234305604,0.6427902032648307,3.4096540195122467,0,-8.0,"[499,107,620,1137,683,2729,2163]","[107,620,1137,683,2729,2163,418]"
1000000,3600.0,64,1,7,9,1913,216,0.4755206273023508,0.4354152815692991,0.995766810586134,0,-8.0,"[499,107,2766,1191,112,3566,1913]","[107,2766,1191,112,3566,1913,216]"
1000000,3600.0,64,1,7,10,796,1051,0.7698371068678479,0.8864497361541668,7.33750996867979,0,-11.0,"[499,107,620,1137,683,2939,796]","[107,620,1137,683,2939,796,1051]"
1000000,3600.0,64,1,8,0,418,316,0.6427902032648307,0.613472194634654,2.8651007089017355,0,-10.0,"[499,107,620,1137,683,2729,2163,418]","[107,620,1137,683,2729,2163,418,316]"
1000000,3600.0,64,1,8,1,418,414,0.6427902032648307,0.6104920355232226,2.831781517117106,0,-10.0,"[499,107,620,1137,683,2729,2163,418]","[107,620,1137,683,2729,2163,418,414]"
1000000,3600.0,64,1,8,2,216,71,0.4354152815692991,0.2992127050529073,2.96694930619365,0,-10.0,"[499,107,2766,1191,112,3566,1913,216]","[107,2766,1191,112,3566,1913,216,71]"
1000000,3600.0,64,1,8,3,216,1088,0.4354152815692991,0.336472688409635,2.5503700280628814,0,-10.0,"[499,107,2766,1191,112,3566,1913,216]","[107,2766,1191,112,3566,1913,216,1088]"
1000000,3600.0,64,1,8,4,216,1687,0.4354152815692991,0.4165861348051416,1.6546744678021892,0,-10.0,"[499,107,2766,1191,112,3566,1913,216]","[107,2766,1191,112,3566,1913,216,1687]"
1000000,3600.0,64,1,8,5,216,2392,0.4354152815692991,0.4201917325173214,1.61436265988243,0,-10.0,"[499,107,2766,1191,112,3566,1913,216]","[107,2766,1191,112,3566,1913,216,2392]"
1000000,3600.0,64,1,8,6,24,2340,0.7041777795676767,0.7659880686985838,5.25661398711105,0,-11.0,"[499,107,620,1137,683,2729,1048,24]","[107,620,1137,683,2729,1048,24,2340]"
1000000,3600.0,64,1,8,7,24,3049,0.7041777795676767,0.9198571132374496,6.976922203220283,0,-11.0,"[499,107,620,1137,683,2729,1048,24]","[107,620,1137,683,2729,1048,24,3049]"
1000000,3600.0,64,1,8,8,1051,3049,0.8864497361541668,0.9198571132374496,9.014784629816695,0,-12.0,"[499,107,620,1137,683,2939,796,1051]","[107,620,1137,683,2939,796,1051,3049]"
1000000,3600.0,64,1,8,9,1051,3080,0.8864497361541668,0.9313106924922173,9.142839538813405,0,-12.0,"[499,107,620,1137,683,2939,796,1051]","[107,620,1137,683,2939,796,1051,3080]"
1000000,3600.0,64,1,8,10,1051,2414,0.8864497361541668,0.9029393660545846,8.825638466181488,0,-13.0,"[499,107,620,1137,683,2939,796,1051]","[107,620,1137,683,2939,796,1051,2414]"
1000000,3600.0,64,1,9,0,1687,3246,0.4165861348051416,0.3640388414196869,2.45268732863458,0,-11.0,"[499,107,2766,1191,112,3566,1913,216,1687]","[107,2766,1191,112,3566,1913,216,1687,3246]"
1000000,3600.0,64,1,9,1,316,64,0.613472194634654,0.5913220193881507,2.289668919768158,0,-12.0,"[499,107,620,1137,683,2729,2163,418,316]","[107,620,1137,683,2729,2163,418,316,64]"
1000000,3600.0,64,1,9,2,414,64,0.6104920355232226,0.5913220193881507,2.256349727983531,0,-12.0,"[499,107,620,1137,683,2729,2163,418,414]","[107,620,1137,683,2729,2163,418,316,64]"
1000000,3600.0,64,1,9,3,3080,3,0.9313106924922173,0.9697121151509805,10.073741235839538,0,-13.0,"[499,107,620,1137,683,2939,796,1051,3080]","[107,620,1137,683,2939,796,1051,3080,3]"
1000000,3600.0,64,1,9,4,2340,1049,0.7659880686985838,0.8417523438813037,6.794744376011984,0,-14.0,"[499,107,620,1137,683,2729,1048,24,2340]","[107,620,1137,683,2729,1048,24,2340,1049]"
1000000,3600.0,64,1,9,5,2340,2414,0.7659880686985838,0.9029393660545846,7.478836080613199,0,-14.0,"[499,107,620,1137,683,2729,1048,24,2340]","[107,620,1137,683,2729,1048,24,2340,2414]"
1000000,3600.0,64,1,9,6,3049,1093,0.9198571132374496,0.9170412304453512,9.356807933658622,0,-14.0,"[499,107,620,1137,683,2939,796,1051,3049]","[107,620,1137,683,2939,796,1051,3049,1093]"
